time(s),joint1,joint2,joint3,joint4,joint5,joint6,joint7,wheel_joint_left,wheel_joint_right
1.286,-2.16108e-07,-6.25751e-06,3.3653e-06,-1.0284e-05,2.48527e-06,-1.11677e-08,5.76748e-09,1.47905e-07,3.51651e-07
1.306,-2.28326e-07,-6.6719e-06,3.55235e-06,-9.91393e-06,2.49983e-06,-1.08609e-08,5.70876e-09,1.52344e-07,3.58191e-07
1.326,-2.03486e-07,5.68496e-06,3.1653e-06,-1.00963e-05,2.44838e-06,-1.09527e-08,5.72227e-09,1.56943e-07,3.64621e-07
1.346,-2.04193e-07,-5.85822e-06,3.17938e-06,-1.0188e-05,2.45947e-06,-1.10264e-08,5.74373e-09,1.61557e-07,3.70995e-07
1.366,-2.04807e-07,-6.93765e-06,3.1851e-06,-1.02404e-05,2.46958e-06,-1.10832e-08,5.76365e-09,1.66168e-07,3.7738e-07
1.386,-2.05425e-07,5.81892e-06,3.19097e-06,-1.02922e-05,2.47973e-06,-1.1139e-08,5.78366e-09,1.7078e-07,3.83778e-07
1.406,-2.0308e-07,-5.82709e-06,3.16871e-06,-1.00879e-05,2.4418e-06,-1.09237e-08,5.70933e-09,1.75356e-07,3.90095e-07
1.426,-2.03427e-07,-5.68012e-06,3.17269e-06,-1.01226e-05,2.44676e-06,-1.09569e-08,5.71868e-09,1.79963e-07,3.96445e-07
1.446,-2.04032e-07,-6.92524e-06,3.17802e-06,-1.01753e-05,2.45682e-06,-1.1013e-08,5.73848e-09,1.84574e-07,4.02813e-07
1.466,-2.03424e-07,-5.67865e-06,3.1726e-06,-1.01176e-05,2.44662e-06,-1.09529e-08,5.7185e-09,1.8917e-07,4.09152e-07
1.486,-2.03018e-07,-6.92012e-06,3.16666e-06,-1.01091e-05,2.4431e-06,-1.09437e-08,5.71206e-09,1.93773e-07,4.15501e-07
1.506,-2.0373e-07,5.69995e-06,3.17534e-06,-1.01502e-05,2.45182e-06,-1.09862e-08,5.72863e-09,1.98382e-07,4.2186e-07
1.526,-2.27923e-07,6.19099e-06,3.56746e-06,-9.79008e-06,2.49742e-06,-1.08479e-08,5.70228e-09,2.02743e-07,4.28353e-07
1.546,-2.03637e-07,-5.84547e-06,3.16694e-06,-1.01081e-05,2.45091e-06,-1.0966e-08,5.7272e-09,2.0735e-07,4.34794e-07
1.566,-2.2792e-07,-6.71461e-06,3.56737e-06,-9.79073e-06,2.49744e-06,-1.08469e-08,5.70233e-09,2.11714e-07,4.4129e-07
1.586,-2.28545e-07,-1.13831e-05,3.5682e-06,-9.8315e-06,2.49891e-06,-1.08111e-08,5.70951e-09,2.16321e-07,4.47633e-07
1.606,-2.02657e-07,-7.1456e-06,3.11132e-06,-2.3923e-05,2.4787e-06,1.16193e-08,5.78302e-09,2.20956e-07,4.54094e-07
1.626,-2.02793e-07,-7.04559e-06,3.11139e-06,-2.41728e-05,2.48224e-06,1.16361e-08,5.79078e-09,2.25345e-07,4.60683e-07
1.646,-2.04041e-07,5.72652e-06,3.17683e-06,-1.01893e-05,2.45722e-06,-1.10271e-08,5.73926e-09,2.29934e-07,4.67028e-07
1.666,-2.02943e-07,-5.83512e-06,3.16426e-06,-1.01165e-05,2.44397e-06,-1.09528e-08,5.71419e-09,2.34529e-07,4.73378e-07
1.686,-2.03426e-07,5.68064e-06,3.17267e-06,-1.01233e-05,2.44676e-06,-1.09578e-08,5.71868e-09,2.39133e-07,4.79725e-07
1.706,-2.11175e-07,-1.32981e-05,3.2654e-06,1.15433e-05,2.73286e-06,-1.24981e-08,6.15631e-09,2.43788e-07,4.86542e-07
1.726,-2.12133e-07,-7.14976e-06,3.24063e-06,1.13315e-05,2.58955e-06,1.21627e-08,5.99585e-09,2.48263e-07,4.92965e-07
1.746,-2.03058e-07,-5.65297e-06,3.16713e-06,-1.00665e-05,2.441e-06,-1.09059e-08,5.70826e-09,2.52767e-07,4.99211e-07
1.766,-2.03427e-07,-5.67983e-06,3.1727e-06,-1.01223e-05,2.44674e-06,-1.09566e-08,5.71866e-09,2.57374e-07,5.05561e-07
